IDPlots,ID,DBH_mm,Height_m,Species,Cont,Species_n,DBH,BA,dist_stand,prop_stand,dist_water,elevation,alive,deformated,bio,abio,BA_tree,pine,birch,response,dist_stand_scaled,prop_stand_scaled,elevation_scaled,dist_water_scaled
2660,26,27,NA,10,Low,BEPE,2.7,12.85409202,24,0.9,3773.32031271969,128,yes,yes,no,no,5.725566000000001e-4,no,yes,0.9932517730102834,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,17,27,NA,10,Low,BEPE,2.7,12.85409202,24,0.9,3773.32031271969,128,yes,yes,no,no,5.725566000000001e-4,no,yes,0.9932517730102834,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,18,87,11.3,6,Low,BEPE,8.7,12.85409202,24,0.9,3773.32031271969,128,yes,no,no,no,0.005944692599999998,no,yes,2.163323025660538,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,16,41,6.8,6,Low,BEPE,4.1,12.85409202,24,0.9,3773.32031271969,128,yes,no,no,no,0.0013202574,no,yes,1.410986973710262,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,23,19,NA,5,Low,PISY,1.9,12.85409202,24,0.9,3773.32031271969,128,yes,yes,no,no,2.8352939999999995e-4,yes,no,0.6418538861723947,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,25,5,2,7,Low,BEPE,0.5,12.85409202,24,0.9,3773.32031271969,128,no,no,no,no,1.9635e-5,no,yes,-0.6931471805599453,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,24,6,NA,10,Low,BEPE,0.6,12.85409202,24,0.9,3773.32031271969,128,yes,yes,no,no,2.8274399999999998e-5,no,yes,-0.5108256237659907,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,19,11,NA,10,Low,BEPE,1.1,12.85409202,24,0.9,3773.32031271969,128,yes,yes,no,no,9.503340000000001e-5,no,yes,0.09531017980432493,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,21,10,NA,10,Low,BEPE,1,12.85409202,24,0.9,3773.32031271969,128,yes,yes,no,no,7.854e-5,no,yes,0,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,20,71,NA,6,Low,BEPE,7.1,12.85409202,24,0.9,3773.32031271969,128,yes,no,no,no,0.0039592014,no,yes,1.9600947840472698,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
2660,22,25,NA,10,Low,BEPE,2.5,12.85409202,24,0.9,3773.32031271969,128,yes,yes,no,no,4.90875e-4,no,yes,0.9162907318741551,-0.7905875493427634,0.6167343264030188,0.32425292922620397,0.7836919891368327
38,2,25,5.8,9,Medium,BEPE,2.5,12.65970552,49,0.2,5094.11979045847,125,yes,no,yes,no,4.90875e-4,no,yes,0.9162907318741551,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,14,124,11.9,19,Medium,POTR,12.4,12.65970552,49,0.2,5094.11979045847,125,yes,no,yes,no,0.012076310400000002,no,no,2.517696472610991,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,3,31,6.7,9,Medium,BEPE,3.1,12.65970552,49,0.2,5094.11979045847,125,yes,no,yes,no,7.547694000000001e-4,no,yes,1.1314021114911006,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
38,4,51,9.4,6,Medium,BEPE,5.1,12.65970552,49,0.2,5094.11979045847,125,yes,no,no,no,0.0020428254,no,yes,1.62924053973028,-0.5278065508969045,-1.0543835780358426,-0.39198315141618456,1.9171762946392301
