IDPlots,ID,DBH_mm,Height_m,heigh_class,Species,Cont,Species_n,DBH,BA,dist_stand,prop_stand,dist_water,elevation,alive,deformated,bio,abio,BA_tree,pine,birch,response,dist_stand_scaled,prop_stand_scaled,elevation_scaled,dist_water_scaled
110,8,9,1.8,1.3-1.9,1,Medium,PISY,0.9,24.31959684,23,0,3367.21330524758,125,yes,no,no,no,6.36174e-5,yes,no,0.5877866649021191,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
110,11,25,3,3-3.9,5,Medium,PISY,2.5,24.31959684,23,0,3367.21330524758,125,yes,yes,no,no,4.90875e-4,yes,no,1.0986122886681098,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
110,10,10,2,2-2.9,1,Medium,PISY,1,24.31959684,23,0,3367.21330524758,125,yes,no,no,no,7.854e-5,yes,no,0.6931471805599453,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
110,9,10,2,2-2.9,1,Medium,PISY,1,24.31959684,23,0,3367.21330524758,125,yes,no,no,no,7.854e-5,yes,no,0.6931471805599453,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
110,4,6,1.6,1.3-1.9,1,Medium,PISY,0.6,24.31959684,23,0,3367.21330524758,125,yes,no,no,no,2.82744e-5,yes,no,0.47000362924573563,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
110,3,6,1.7,1.3-1.9,5,Medium,PISY,0.6,24.31959684,23,0,3367.21330524758,125,yes,yes,no,no,2.82744e-5,yes,no,0.5306282510621704,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
110,1,13,2.5,2-2.9,1,Medium,PISY,1.3,24.31959684,23,0,3367.21330524758,125,yes,no,no,no,1.327326e-4,yes,no,0.9162907318741551,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
110,18,9,1.9,1.3-1.9,1,Medium,PISY,0.9,24.31959684,23,0,3367.21330524758,125,yes,no,no,no,6.36174e-5,yes,no,0.6418538861723947,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
110,17,115,7,7-7.9,4,Medium,PISY,11.5,24.31959684,23,0,3367.21330524758,125,yes,no,yes,no,0.010386915,yes,no,1.9459101490553132,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
110,6,12,2,2-2.9,1,Medium,PISY,1.2,24.31959684,23,0,3367.21330524758,125,yes,no,no,no,1.130976e-4,yes,no,0.6931471805599453,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
110,2,134,7.8,7-7.9,1,Medium,PISY,13.4,24.31959684,23,0,3367.21330524758,125,yes,no,no,no,0.0141026424,yes,no,2.0541237336955462,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
110,7,52,4.3,4-4.9,3,Medium,PISY,5.2,24.31959684,23,0,3367.21330524758,125,yes,no,no,yes,0.0021237216,yes,no,1.4586150226995167,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
110,5,20,2.1,2-2.9,1,Medium,PISY,2,24.31959684,23,0,3367.21330524758,125,yes,no,no,no,3.1416e-4,yes,no,0.7419373447293773,-0.8010987892805977,-1.5318458364469458,-0.39198315141618456,0.4351788900006595
111,12,156,11.2,11-11.9,5,Medium,PISY,15.6,24.15434868,127,1,3479.66328879537,120,yes,yes,no,no,0.0191134944,yes,no,2.4159137783010487,0.29207016425417515,0.8554654556085705,-1.585709952486832,0.5316812687899334
111,11,122,4.2,4-4.9,1,Medium,PISY,12.2,24.15434868,127,1,3479.66328879537,120,yes,no,no,no,0.0116898936,yes,no,1.4350845252893227,0.29207016425417515,0.8554654556085705,-1.585709952486832,0.5316812687899334
111,10,18,2,2-2.9,1,Medium,PISY,1.8,24.15434868,127,1,3479.66328879537,120,yes,no,no,no,2.544696e-4,yes,no,0.6931471805599453,0.29207016425417515,0.8554654556085705,-1.585709952486832,0.5316812687899334
